,MDGL,MDGL,MDGL,MDGL,MDGL,NVO,NVO,NVO,NVO,NVO
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2023-08-01,204.75,205.52000427246094,200.42999267578125,202.32000732421875,208300,78.16678883581042,78.50587111891866,77.8761563819326,78.34117126464844,2860800
2023-08-02,200.02000427246094,201.52000427246094,195.36000061035156,198.47000122070312,225100,77.29973371647887,77.7308448521993,76.60220392581232,76.69908142089844,1672200
2023-08-03,196.0399932861328,197.5500030517578,190.5399932861328,193.27000427246094,255400,76.17592824538957,76.82502293445383,75.85623327521117,76.30671691894531,1604000
2023-08-04,194.94000244140625,195.24000549316406,190.10000610351562,194.47999572753906,183900,76.06935920135716,76.59735517197845,75.75450552519666,75.85623168945312,3036800
2023-08-07,194.80999755859375,194.80999755859375,178.75,179.49000549316406,357500,77.59520810014288,78.41867782333432,77.16409700209523,78.16194915771484,2471800
2023-08-08,175.0,175.0,156.0,169.05999755859375,928600,90.15555944288934,93.09099080142536,88.92519988077832,91.63296508789062,17822600
2023-08-09,168.97999572753906,172.72000122070312,162.75999450683594,168.72999572753906,343700,89.68570536399017,92.2529996000027,89.56460664900165,90.86763000488281,7448000
2023-08-10,169.30999755859375,174.08999633789062,168.00999450683594,171.7100067138672,241800,89.55491878250673,90.44136221080403,88.04360188267073,88.20345306396484,6515800
2023-08-11,170.8300018310547,172.80999755859375,167.33999633789062,171.42999267578125,210500,88.38752372987712,88.95910607181806,87.2831041274163,87.96610260009766,4238800
2023-08-14,170.14999389648438,175.82000732421875,168.5,173.44000244140625,296700,87.80625854629493,88.47956710761218,86.80840631497516,86.91981506347656,4647800
2023-08-15,172.00999450683594,177.8699951171875,166.64999389648438,174.1699981689453,272000,89.36600599692238,90.01993459106562,88.02423023100742,89.66632843017578,4827000
2023-08-16,173.8300018310547,176.22000122070312,171.5,175.61000061035156,197400,89.39506165895472,90.60604865679676,89.28849421184238,89.44349670410156,3158200
2023-08-17,175.99000549316406,177.5,172.08999633789062,174.0,249100,89.9908666757373,90.69808634629713,89.24005324644327,89.47740936279297,3705800
2023-08-18,171.75,180.89999389648438,171.0,179.74000549316406,254000,88.93909496148676,89.43069106807722,88.31608869188547,89.1337890625,2722200
2023-08-21,179.63999938964844,182.7899932861328,177.5500030517578,179.3699951171875,185100,90.21430843064412,90.71076162970078,89.59130222150569,90.46739959716797,2090000
2023-08-22,178.8699951171875,184.72999572753906,174.0500030517578,180.88999938964844,167900,89.77139162847526,90.41873555420595,89.48909076731915,90.04882049560547,2425200
2023-08-23,182.0,182.22999572753906,178.1999969482422,179.1999969482422,334500,91.18289380092071,93.05678461191758,91.17802923343255,92.4970474243164,3294200
2023-08-24,179.74000549316406,180.02000427246094,175.0,177.27000427246094,180700,91.38245222233327,91.99572193110204,90.18997963076147,90.21431732177734,3619200
